Date,Open,High,Low,Close,Adj Close,Volume
2017-08-30,4.490000,4.570000,4.440000,4.500000,4.500000,33100
2017-08-31,4.600000,4.770000,4.590000,4.650000,4.650000,32200
2017-09-01,4.630000,4.870000,4.630000,4.710000,4.710000,27200
2017-09-05,4.740000,4.850000,4.680000,4.760000,4.760000,8500
2017-09-06,4.750000,4.750000,4.520000,4.590000,4.590000,40600
2017-09-07,4.610000,4.660000,4.460000,4.490000,4.490000,19000
2017-09-08,4.520000,4.760000,4.520000,4.650000,4.650000,28100
2017-09-11,4.660000,4.890000,4.620000,4.700000,4.700000,18600
2017-09-12,4.700000,4.940000,4.700000,4.900000,4.900000,16700
2017-09-13,4.950000,4.990000,4.890000,4.940000,4.940000,19100
2017-09-14,4.940000,4.940000,4.650000,4.690000,4.690000,32000
2017-09-15,4.700000,4.770000,4.460000,4.520000,4.520000,37800
2017-09-18,4.510000,4.570000,4.350000,4.450000,4.450000,48400
2017-09-19,4.490000,4.660000,4.430000,4.530000,4.530000,25600
2017-09-20,4.560000,4.800000,4.550000,4.580000,4.580000,20600
2017-09-21,4.700000,4.700000,4.550000,4.600000,4.600000,35400
2017-09-22,4.600000,4.660000,4.470000,4.550000,4.550000,44500
2017-09-25,4.530000,4.640000,4.530000,4.610000,4.610000,27800
2017-09-26,4.650000,4.850000,4.640000,4.760000,4.760000,22400
2017-09-27,4.700000,4.850000,4.680000,4.710000,4.710000,37000
2017-09-28,4.700000,4.750000,4.670000,4.740000,4.740000,8500
2017-09-29,4.710000,4.790000,4.710000,4.790000,4.790000,11800
2017-10-02,4.720000,4.750000,4.690000,4.740000,4.740000,20900
2017-10-03,4.720000,4.900000,4.650000,4.860000,4.860000,41600
2017-10-04,5.100000,5.410000,4.800000,5.250000,5.250000,124100
2017-10-05,5.330000,5.340000,5.170000,5.280000,5.280000,51900
2017-10-06,5.320000,5.320000,5.220000,5.300000,5.300000,28500
2017-10-09,5.430000,5.490000,5.260000,5.420000,5.420000,37100
2017-10-10,5.440000,5.520000,5.320000,5.380000,5.380000,50300
2017-10-11,5.420000,5.420000,5.250000,5.310000,5.310000,26400
2017-10-12,5.970000,6.350000,5.830000,6.010000,6.010000,359400
2017-10-13,6.130000,6.180000,5.850000,5.850000,5.850000,80000
2017-10-16,5.890000,5.940000,5.310000,5.340000,5.340000,103100
2017-10-17,5.390000,5.550000,5.250000,5.270000,5.270000,68300
2017-10-18,5.320000,5.440000,5.300000,5.390000,5.390000,25900
2017-10-19,5.440000,5.540000,5.210000,5.320000,5.320000,33200
2017-10-20,5.300000,5.500000,5.270000,5.420000,5.420000,23800
2017-10-23,5.410000,5.410000,5.240000,5.250000,5.250000,16500
2017-10-24,5.380000,5.430000,5.240000,5.350000,5.350000,28200
2017-10-25,5.450000,5.520000,5.190000,5.300000,5.300000,17500
2017-10-26,5.360000,5.490000,5.330000,5.400000,5.400000,19400
2017-10-27,5.400000,5.450000,5.330000,5.450000,5.450000,13100
2017-10-30,5.560000,5.660000,5.380000,5.390000,5.390000,12300
2017-10-31,5.380000,5.490000,5.250000,5.270000,5.270000,50800
2017-11-01,5.230000,5.380000,5.000000,5.010000,5.010000,34500
2017-11-02,5.190000,5.200000,5.000000,5.090000,5.090000,25400
