Date,Open,High,Low,Close,Adj Close,Volume
2012-04-01,4.000000,4.200000,3.200000,3.200000,3.200000,1700
2012-05-01,3.000000,3.760000,2.440000,2.560000,2.560000,4400
2012-06-01,2.560000,3.520000,2.400000,3.200000,3.200000,2500
2012-07-01,3.200000,4.000000,2.200000,2.360000,2.360000,23100
2012-08-01,2.360000,2.440000,2.000000,2.000000,2.000000,13900
2012-09-01,2.000000,2.160000,1.640000,2.160000,2.160000,2300
2012-10-01,2.160000,2.800000,1.640000,2.400000,2.400000,6400
2012-11-01,2.400000,3.000000,1.480000,2.400000,2.400000,4100
2012-12-01,2.960000,8.200000,2.240000,4.510000,4.510000,2485600
2013-01-01,4.750000,6.480000,4.030000,4.250000,4.250000,674900
2013-02-01,4.150000,4.880000,2.850000,3.040000,3.040000,254600
2013-03-01,3.170000,5.690000,2.550000,3.200000,3.200000,827600
2013-04-01,3.200000,5.450000,3.050000,3.270000,3.270000,2572400
2013-05-01,3.340000,4.190000,2.710000,2.710000,2.710000,582800
2013-06-01,2.620000,2.990000,2.560000,2.760000,2.760000,98500
2013-07-01,2.760000,2.990000,2.640000,2.780000,2.780000,82600
2013-08-01,2.660000,5.750000,2.660000,4.070000,4.070000,2800200
2013-09-01,4.190000,4.280000,3.480000,3.680000,3.680000,157800
2013-10-01,3.600000,4.950000,3.500000,4.670000,4.670000,279300
2013-11-01,4.550000,5.030000,3.590000,4.410000,4.410000,411000
2013-12-01,5.100000,10.850000,4.900000,7.750000,7.750000,12291100
2014-01-01,8.000000,8.490000,6.750000,7.020000,7.020000,1253000
2014-02-01,7.070000,7.280000,6.530000,6.560000,6.560000,327700
2014-03-01,6.550000,7.230000,6.150000,6.560000,6.560000,422200
2014-04-01,6.650000,6.980000,3.960000,4.030000,4.030000,521600
2014-05-01,3.790000,4.950000,3.650000,4.180000,4.180000,264000
2014-06-01,4.220000,4.700000,3.700000,3.970000,3.970000,584100
2014-07-01,3.990000,4.280000,3.280000,3.450000,3.450000,748700
2014-08-01,3.450000,3.800000,3.100000,3.250000,3.250000,443900
2014-09-01,3.350000,4.740000,3.200000,4.230000,4.230000,737800
2014-10-01,4.140000,4.400000,3.140000,3.900000,3.900000,175300
2014-11-01,3.790000,4.300000,3.410000,3.980000,3.980000,133100
2014-12-01,4.000000,4.180000,3.020000,3.160000,3.160000,195400
2015-01-01,3.270000,3.470000,3.000000,3.100000,3.100000,153200
2015-02-01,3.170000,3.300000,2.910000,2.980000,2.980000,73900
2015-03-01,3.050000,3.120000,1.970000,2.070000,2.070000,172200
2015-04-01,1.980000,2.500000,1.810000,2.220000,2.220000,168700
2015-05-01,2.250000,4.000000,2.250000,2.750000,2.750000,1345500
2015-06-01,2.710000,3.000000,2.400000,2.590000,2.590000,80800
2015-07-01,2.510000,2.700000,2.080000,2.240000,2.240000,202800
2015-08-01,2.150000,2.680000,2.100000,2.250000,2.250000,114000
2015-09-01,2.150000,2.570000,2.070000,2.310000,2.310000,99700
2015-10-01,2.370000,2.390000,2.020000,2.060000,2.060000,113600
2015-11-01,2.070000,2.960000,1.930000,2.230000,2.230000,219400
2015-12-01,2.280000,2.350000,1.790000,1.950000,1.950000,487000
2016-01-01,2.000000,2.050000,1.650000,1.830000,1.830000,148600
2016-02-01,1.850000,1.850000,1.600000,1.740000,1.740000,116700
2016-03-01,1.860000,2.400000,1.660000,2.030000,2.030000,582500
2016-04-01,2.080000,2.220000,1.930000,2.160000,2.160000,426200
2016-05-01,2.150000,4.850000,1.980000,4.070000,4.070000,21173600
2016-06-01,4.000000,4.040000,2.620000,3.020000,3.020000,9554700
2016-07-01,3.050000,3.580000,2.900000,3.090000,3.090000,1164000
2016-08-01,3.090000,4.020000,2.610000,2.720000,2.720000,4041300
2016-09-01,2.700000,2.770000,2.140000,2.250000,2.250000,1637500
2016-10-01,2.260000,2.440000,2.000000,2.170000,2.170000,1343300
2016-11-01,2.180000,2.620000,1.820000,1.970000,1.970000,1305300
2016-12-01,1.980000,2.940000,1.920000,2.120000,2.120000,3101700
2017-01-01,2.240000,2.390000,2.100000,2.310000,2.310000,615200
2017-02-01,2.290000,2.520000,2.250000,2.250000,2.250000,411500
2017-03-01,2.340000,2.730000,2.000000,2.150000,2.150000,435400
2017-04-01,2.170000,2.220000,1.950000,2.070000,2.070000,356000
2017-05-01,2.070000,2.290000,1.920000,1.960000,1.960000,439300
2017-06-01,1.910000,2.060000,1.690000,1.780000,1.780000,417900
2017-07-01,1.770000,2.100000,1.760000,2.050000,2.050000,121400
2017-08-01,2.040000,2.050000,1.530000,1.730000,1.730000,455000
2017-09-01,1.620000,1.880000,1.620000,1.830000,1.830000,314900
2017-10-01,1.780000,1.990000,1.710000,1.850000,1.850000,505800
2017-11-01,1.890000,2.970000,1.770000,2.330000,2.330000,5838500
2017-12-01,2.160000,2.670000,2.100000,2.190000,2.190000,1904400
2018-01-01,2.200000,2.540000,2.090000,2.180000,2.180000,1237400
2018-02-01,2.190000,2.420000,1.910000,2.070000,2.070000,844400
2018-03-01,2.080000,2.460000,1.860000,2.230000,2.230000,806900
2018-04-01,2.220000,2.300000,2.130000,2.180000,2.180000,268000
2018-05-01,2.250000,2.650000,2.130000,2.500000,2.500000,1674500
2018-06-01,2.520000,2.590000,2.120000,2.310000,2.310000,1032600
2018-07-01,2.310000,2.780000,2.240000,2.460000,2.460000,2118600
2018-08-01,2.470000,2.650000,2.210000,2.370000,2.370000,849100
2018-09-01,2.380000,2.530000,2.380000,2.440000,2.440000,311100
2018-10-01,2.430000,2.430000,2.090000,2.180000,2.180000,278900
